id,fips_code,state,cemetery,county_name,graveid,birth_year,birth_month,death_year,death_month,reached_age,female,stone_type,persons_ingrave,floral,wheat,marriage_month,marriage_year,married,familyrole,military,patriotic,occupation,picture,nonrelig_symbol,verbal_nonrelig,verbal_love,othersecular,bible,fish,dove,praying,cross,lamb,angel,verbal_relig,other_religious
110,6045,CA,Ukiah Cemetery,Mendocino,169159908,1930,2,2010,11,80.75,0,4,2,0,0,,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
111,6045,CA,Ukiah Cemetery,Mendocino,107264703,1923,4,2005,1,81.75,1,3,4,0,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,6045,CA,Ukiah Cemetery,Mendocino,29001314,1923,11,2002,4,78.416664,0,3,1,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,6045,CA,Ukiah Cemetery,Mendocino,84196918,1926,10,2012,1,85.25,0,1,2,0,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,6045,CA,Ukiah Cemetery,Mendocino,115914460,1946,1,2011,5,65.333336,0,1,1,0,0,,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
115,6045,CA,Ukiah Cemetery,Mendocino,126117844,1910,11,2004,3,93.333336,1,3,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,6045,CA,Ukiah Cemetery,Mendocino,115915119,1946,9,2013,1,66.333336,1,3,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
117,6045,CA,Ukiah Cemetery,Mendocino,29001214,1915,11,2006,8,90.75,0,3,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,6045,CA,Ukiah Cemetery,Mendocino,90950812,1913,5,2004,6,91.083336,1,3,1,0,0,,,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
119,6045,CA,Ukiah Cemetery,Mendocino,29001805,1926,2,2000,9,74.583336,0,3,1,0,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,6045,CA,Ukiah Cemetery,Mendocino,116917069,1935,8,2002,3,66.583336,1,3,1,1,0,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
121,6045,CA,Ukiah Cemetery,Mendocino,142227563,1920,1,2010,,90,0,3,2,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,6045,CA,Ukiah Cemetery,Mendocino,126129617,1920,12,2002,11,81.916664,0,3,2,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
123,6045,CA,Ukiah Cemetery,Mendocino,29004996,1922,2,2000,2,78,0,3,2,1,0,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
124,6045,CA,Ukiah Cemetery,Mendocino,28999085,1928,4,2006,5,78.083336,0,1,2,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
125,6045,CA,Ukiah Cemetery,Mendocino,107999059,1914,2,2012,4,98.166664,0,1,2,0,1,,,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
126,6045,CA,Ukiah Cemetery,Mendocino,116242180,1950,4,2012,6,62.166668,0,1,1,0,0,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
127,6045,CA,Ukiah Cemetery,Mendocino,108301724,1938,11,2011,9,72.833336,1,3,1,0,0,,,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
128,6045,CA,Ukiah Cemetery,Mendocino,53363100,1926,5,2009,6,83.083336,0,1,1,0,0,,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
129,6045,CA,Ukiah Cemetery,Mendocino,29013406,1920,6,2001,9,81.25,1,3,1,0,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
130,6045,CA,Ukiah Cemetery,Mendocino,116241246,1964,11,2005,9,40.833332,0,1,1,1,0,,,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
131,6045,CA,Ukiah Cemetery,Mendocino,190181512,1954,,2016,,62,0,3,2,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,6045,CA,Ukiah Cemetery,Mendocino,116242240,1925,9,2007,9,82,1,1,2,1,0,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
133,6045,CA,Ukiah Cemetery,Mendocino,90742347,1932,10,2005,2,72.333336,0,3,1,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
134,6045,CA,Ukiah Cemetery,Mendocino,190181512,1952,,2018,,66,0,3,2,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,6045,CA,Ukiah Cemetery,Mendocino,29013687,1918,12,2006,3,87.25,1,3,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
