fip,rel_adh
13019,37.346722
13021,46.341778
13023,
13025,
13027,
13029,38.778648
13031,33.581799
13033,37.898205
13035,35.62273
13037,
13039,31.401752
13043,41.56665
13045,45.641338
13047,33.883736
13049,38.203224
13051,42.785362
13053,
13055,
13057,38.781761
13059,32.929192
13061,
13063,31.647907
13065,
13067,46.658112
13069,42.64048
13071,54.716057
13073,29.737509
13075,47.299091
13077,41.237698
13079,
13081,44.503185
13083,35.473473
13085,37.414726
13087,49.361809
13089,36.226986
13091,64.357338
13093,
13095,45.813026
13097,45.217533
13099,50.257786
13101,
13103,38.721516
13105,54.577209
13107,37.138256
13109,42.918358
13111,66.234543
13113,65.520432
13115,62.853901
13117,40.742805
13119,
13121,48.873783
13123,40.087616
13125,
13127,46.962624
13129,57.041382
13131,51.974281
13133,43.517021
13135,40.595268
13137,56.349926
13139,59.791737
13141,
13143,
13145,31.154713
13147,62.116302
13149,
13151,36.071716
13153,49.486778
13155,
13157,35.270844
13159,
13161,60.809132
13163,44.048878
13165,54.410175
13167,
13169,
13171,
13173,38.173943
13175,53.458363
13177,
13179,22.072012
13181,
13183,
13185,45.751564
13187,25.991974
13189,48.548351
13191,28.546661
13193,28.952143
13195,
13197,28.422054
13199,41.123505
13201,
13205,43.671497
13207,
13209,
13211,44.26754
13213,
13215,48.615479
13217,36.249458
13219,
13221,
13223,26.533422
13225,29.327576
13227,32.764687
13229,
13231,
13233,56.826965
13235,
13237,
13239,
13241,60.861877
13243,40.939247
13245,43.244438
13247,41.219715
13249,
13251,50.349117
13253,53.922859
13255,62.746803
13257,66.129906
13259,
13261,41.008518
13263,
13265,31.191193
13267,36.501884
13269,
13271,35.101421
13273,
13275,52.012062
13277,55.163258
13279,57.222961
13281,
13283,
13285,50.92849
13287,
13289,
13291,61.015064
13293,
13295,51.799122
13297,34.815895
13299,54.484657
13301,
13303,42.461678
13305,61.524536
13307,
13309,
13311,38.460117
13313,57.431812
13315,
13317,46.17149
13319,
13321,
15001,31.759537
15003,30.011999
15005,
15007,37.870678
15009,38.190189
16001,27.250341
16003,18.615429
16005,14.569426
16007,2.6069124
16009,44.108444
16011,10.646863
16013,16.527573
16015,8.3099689
16017,18.412945
16019,18.928793
16021,29.917572
16023,9.6779928
16025,
16027,26.17984
16029,9.2256489
16031,23.442678
16033,
16035,27.982136
16037,8.5517778
16039,28.988821
16041,3.6878686
16043,14.809668
16045,28.354462
16047,23.301762
16049,30.945673
16051,2.1694431
16053,35.128754
16055,39.402107
16057,20.904552
16059,24.652409
16061,41.018974
16063,11.920198
16065,1.4611137
16067,34.90937
16069,28.988529
16071,
16073,14.464798
16075,26.838907
16077,38.595245
16079,24.432911
16081,4.5374346
16083,27.317789
16085,18.24964
16087,34.736031
17001,66.969017
17003,36.200768
17005,47.901115
17007,39.787453
17009,40.52256
17011,47.423481
17013,71.037369
17015,57.014893
17017,71.466896
17019,34.982735
17021,50.007046
17023,62.109425
17025,73.346008
17027,72.261353
17029,39.004463
17031,50.000763
17033,44.477665
17035,33.625713
17037,44.494335
17039,44.424797
17041,64.937927
17043,58.931957
17045,47.264908
17047,
17049,70.792969
17051,48.719662
17053,58.865833
17055,57.336205
17057,37.386829
17059,47.026424
17061,59.058754
17063,45.046883
17065,56.736694
17067,51.768761
17069,28.451447
17071,33.861549
17073,51.475769
17075,54.646828
17077,38.246052
17079,54.435711
17081,53.824646
17083,53.969398
17085,67.132622
17087,34.814789
17089,51.008446
17091,46.477932
17093,37.163017
17095,36.508297
17097,50.768272
17099,54.234528
17101,44.545738
17103,57.368965
17105,54.785156
17107,51.543812
17109,32.287617
17111,48.915871
17113,42.829926
17115,45.997581
17117,52.323376
17119,46.67614
17121,56.637157
17123,56.833351
17125,49.066414
17127,65.174454
17129,51.252495
17131,47.774529
