FIPS,COUNT,TOT_POP,CAPITA
48217,56,35115,0.0015947601
18107,61,38254,0.0015946045
5021,25,15684,0.0015939811
13125,5,3142,0.0015913431
19035,19,11946,0.0015904905
31075,1,629,0.0015898251
54091,27,16991,0.0015890766
29151,22,13858,0.0015875307
31105,6,3783,0.0015860428
17033,31,19600,0.0015816327
47161,21,13297,0.0015793036
21187,17,10765,0.0015791918
20131,16,10132,0.0015791552
48223,56,35469,0.0015788435
20129,5,3169,0.0015777848
20179,4,2538,0.0015760441
42021,223,141584,0.0015750367
48153,10,6367,0.0015705984
49017,8,5095,0.0015701668
48293,37,23585,0.0015687937
17087,20,12760,0.0015673981
36031,61,38961,0.0015656682
55053,32,20485,0.0015621186
17071,11,7043,0.0015618344
38011,5,3202,0.001561524
48151,6,3844,0.0015608741
42087,73,46773,0.0015607295
23025,81,51910,0.001560393
18101,16,10260,0.0015594542
19099,57,36602,0.001557292
21129,12,7706,0.0015572281
29173,16,10277,0.0015568746
48059,21,13517,0.0015535992
36089,174,112232,0.00155036
30077,11,7096,0.0015501691
40015,46,29678,0.0015499697
27011,8,5164,0.0015491867
54095,14,9037,0.0015491867
13269,13,8420,0.001543943
48011,3,1944,0.0015432099
39115,23,14911,0.0015424854
20071,2,1298,0.001540832
42009,76,49324,0.001540832
30053,30,19491,0.0015391719
19065,32,20793,0.0015389795
29073,23,14972,0.0015362009
29135,24,15625,0.001536
20113,45,29356,0.0015329064
42123,63,41146,0.001531133
21023,13,8494,0.0015304921
51690,21,13733,0.0015291633
20083,3,1963,0.0015282731
26043,40,26220,0.001525553
20149,34,22302,0.0015245269
17117,72,47231,0.0015244225
48137,3,1968,0.0015243902
16007,9,5907,0.001523616
47183,53,34793,0.0015232949
17187,27,17731,0.0015227568
54103,25,16422,0.0015223481
18179,42,27652,0.0015188775
21083,57,37544,0.0015182186
40117,25,16474,0.0015175428
20075,4,2639,0.0015157257
27101,13,8577,0.0015156815
46051,11,7259,0.0015153602
18023,50,33022,0.0015141421
5109,17,11247,0.0015115142
55023,25,16560,0.0015096618
40029,9,5963,0.0015093074
54053,41,27179,0.0015085176
29163,28,18565,0.0015082144
13201,9,5969,0.0015077902
36053,109,72382,0.0015058993
5039,12,7987,0.0015024415
53013,6,3995,0.0015018773
46091,7,4671,0.0014986084
18041,36,24029,0.0014981897
18093,69,46078,0.0014974608
1107,29,19405,0.0014944602
19157,28,18736,0.0014944492
21147,27,18069,0.001494272
20023,4,2678,0.001493652
29003,26,17417,0.0014927944
22013,21,14076,0.0014919011
48035,27,18125,0.0014896552
